Bank,review_text,review_score
HDBank,Stupid bank app without help on how to generate otp. And the bank itself in Daklak is super slow. No number offer to customers and wait like 1h cannot enter the counter,1
HDBank,"High fees. And money sometimes just disappear from the account, without any explanation.",1
HDBank,"Unable to login by password and unable to login by fingerprint. It says account doesn't exist. So I tried internet banking in browser and it says your account is locked due to 3 failure attempts. ""HELP"" and chat function isn't working in app, says ""This service hasn't started yet"" Update: I've updated the recent app and many THANKS to the customer care. They have updated my new password and the account is working smoothly. Very fast !!",4
HDBank,"Whenever I choose transfer money option, the app stopped immediately. I don't know reason why.",3
HDBank,I can not run this app recently. It crashes all the times,3
HDBank,"Can login the internet banking using laptop, but could not login the app using mobile phone hdbank app",1
HDBank,Nice and easy to use,5
HDBank,The app is much better now. It works well.,4
HDBank,App login crash,1
HDBank,Dislike these colour,3
HDBank,So far so good,5
HDBank,Good app,5
HDBank,"Quá tệ, liên tục bị lỗi kết nối tới server bị gián đoạn, làm cho việc đăng ký mãi không được.",1
HDBank,"App của một ngân hàng có tham vọng mà để xảy ra lỗi liên tục: đăng nhập bằng vân tây giao dịch cả ngày, rồi bất ngờ thông báo""chưa cài đặt đăng nhập bằng vân tay"", vào ứng dụng cài đặt thì promt quét vân tay nhưng không có chỗ quét, trong khi ứng dụng của 3 ngân hàng khác và các app dùng vân tay vẫn hoạt động bình thường. Và đây không phải lần đầu tiên.",1
HDBank,"app ngân hàng thuộc top cùi nhất thị trg, mỗi lần đổi đt là phải lên pgd reset pass rất mất time. Giao diện xấu đau đớn, nói chung so vs ngân hàng khác, ngay cả khi so vs mấy ông chậm thay đổi như big4 còn thua.",1
HDBank,Mình dùng app để thanh toán vé máy bay và vé xem phim BHD rất tiện lợi,5
HDBank,"1 sao vì dịch vụ chuyển tiền qua app chưa free, lấy 7700 cho 1 lần chuyển, đến bây giờ vùng miền, chi nhánh nữa. Khách hàng cá nhân thì phải càng ưu đãi dịch vụ vì họ là người thích nói xấu, hay chuyển ngân hàng nếu có sự khập khiễng giữa các ngân hàng. Thời đại mobile money mà còn lấy phí thì ko đúng với tinh thần chỉ đạo cuả chính phủ. Ra atm rút tiền lương còn rẻ hơn phí chuyển.",1
HDBank,Đề nghị coi lại quy trình đặt lại mật khẩu mới. Trùng cũng ko cho làm j mà có nhiều mật khẩu để đặt hoài vậy.,1
HDBank,Trải nghiệm tệ nhất với Credit Card của HD Bank. Gặp đủ thứ rắc rối sau khi nhận thẻ & thực tế KHÔNG THỂ sử dụng tốt được. Xin chào & KHÔNG hẹn gặp lại!,1
HDBank,ok,5
HDBank,Rất tiện lợi.,5
HDBank,Crash,1
HDBank,Good,5
HDBank,"Dùng khá phức tạp, nếu là doanh nghiệp, OTP chỉ dùng 1 mã trên 1 máy khá bất tiện khi giao dịch. Giao diện nhìn đẹp màu sắc nhưng hơi nhiều thông tin quá.",4
HDBank,Great bank,5
HDBank,Very good,5
HDBank,Ứng dụng tốt. Nhưng những ngân hàng khác khi chuẩn bị gửi tiết kiệm có mục hiển thị trước số tiền lãi sẽ nhận được sau kỳ rất tiện lợi. Mong HD cũng sẽ cập nhật.,5
HDBank,"Mục ""Đăng nhập lần cuối"" các bạn đang hiển thị là lần đăng nhập hiện tại. Thông tin này rất vô nghĩa vì ai cũng biết là chính họ đang đăng nhập ngay lúc này. Cái user cần là xem đã có ai đăng nhập vào tk của mình từ lần mình đăng nhập cuối cùng không. Các app khác đều hiển thị lần đăng nhập vừa qua để user có thể kiểm tra được. Mong các bạn lập trình sửa đổi.",4
HDBank,App crash,1
HDBank,"Mình có 3 sim của 3 nhà mạng, nên chọn sim mạng nào làm sim chính?",4
HDBank,Lừa đảo! 😠😠😠,1
HDBank,"Từ sau khi update xong hệ thống luôn bị lỗi, mới nhập mã OPT xong là bị out, lại không nhận được tin nhắn trừ tiền, hậu quả thanh toán 2 lần",1
HDBank,09r1217261,5
HDBank,Cực kỳ chán. Bấm vào cái gì cũng chưa có Tin nhắn báo tk có tiền mở app ra vẫn chẳng có. Nửa tiếng sau quay lại vẫn vậy. Muốn chuyển khoản phải scan đủ thể loại CMND khuôn mặt... gửi đi xong cuối cùng cũng chả đc.,1
HDBank,"-Lịch sử giao dịch dấu quá kỹ, không tìm được ra luôn -Không có chuyển nhanh, check thông tin khách hàng tránh chuyển tiền sai -Tiền nên ấn vào cái show cái đó, show cả 2 là k nên -Cái gì không xài được thì nên gom lại dấu đi, để nhìn cho đẹp chứ không có tác dụng gì cả -Cần tối ưu hơn, tác vụ còn lòng vòng, nên đơn giản mà dễ dùng như bản cũ",4
HDBank,Good App,5
HDBank,Đã update bản cho Android 10. Dùng tốt.,5
HDBank,Great app,5
HDBank,App ngày càng đẹp,5
HDBank,App càng ngày càng tốt :))),5
Techcombank Mobile,"This application is performing really bad, have to say this, after a countless number of times that I first tried to access the login screen with absolutely no responses. The worst experience among my mobile bankings ever.",1
Techcombank Mobile,"The new app is horrible; the interface is not user-friendly at all. I initially chose the fingerprints login option, thinking if it fails the app at least would let me log in by other options like password or passcode but nope. Then, when I turned off the fingerprints option so as to deliberately log in with password cuz I need it to make e-payment, I also could not.",1
Techcombank Mobile,"First, the new user interface is a brave move by TCB team. It appears sleek, modern and geared toward <30 year old. However, I would say the flow is not user friendly. Example: transfer money should be compact in 1 screen. I personally feel uncomfortable to move different screens. Second, Im disappointed the new app does not come with many new features. Still very basic banking functions. Development team should look at BIDV SmartBanking & MB app for reference. I expect more from TCB app.",2
Techcombank Mobile,Ux/ui is very unfriendly and not as fast as fast mobile since it takes too many unecessary screen changing. I want everything to be shown on screen like the old one. You have to think about people who is over 45. Are they NOT your target customers so you don't care if they cannot approach this ux ui?,1
Techcombank Mobile,"Love the app. It's similar to the banking app I have in Australia, which is very useful and easy to navigate around. Some old users might find it complicated but once you are used to the app, it's so easy to use. Much better than the F@st Mobile one. Also, plus point for the design 💕",5
Techcombank Mobile,"Techcombank has fixed all the problems I mentioned before so I will change to 5 stars. Thanks for actually reading and improving. Btw sometimes I can't transfer money on the app cos it says no internet connection, but I check all the other apps are perfectly fine. So I hope you will fix this too, I think it's just a bug.",5
Techcombank Mobile,"Worst UI ever, functions details are not separated and so confused. The only reason i gave 2 stars is because the app is smoother than the previous",2
Techcombank Mobile,"Cannot log in since few days. App is loading, loading, loadin............. forever. Customer service is also checking ... Forever. It's terrible app and dev teams.",1
Techcombank Mobile,The new interface is very difficult to use and not user-friendly as the old version (F@st mobile). The information is shown in a very big size which I had to scroll up and down to read. All necessary functions are hard to navigate.,1
Techcombank Mobile,"Please let me back to F@st mobile. When converted to new application, they took me a lot of time to make a transaction. System administrator, if needed, I can be a technical support to help you.",1
Techcombank Mobile,I don't mind to learn for get use with new UX. But I cannot accept the fact that new app take really longggggg time to load everything. It takes 15++ minutes to only loading my balance for transferring my cash.,1
Techcombank Mobile,"A lot of UI UX to improve to help customer in their journey. currently too much thinking. ""Don't make me think"".",4
Techcombank Mobile,"1. the location to display full Amount changed is difficult to find. need be improve. 1. the notification of Amount changed is delayed serveral or long time, this is a risk when owners dont know their amount withdraw unexpected immediately.",3
Techcombank Mobile,"Compare with previous app F@stConnect, the new app is more difficulty to use, and the features are also be reduced also. Even account by mobile number from outside-bank transfer also is disabled",1
