Bank,review_text,review_score,english
HDBank,Stupid bank app without help on how to generate otp. And the bank itself in Daklak is super slow. No number offer to customers and wait like 1h cannot enter the counter,1,1
HDBank,"High fees. And money sometimes just disappear from the account, without any explanation.",1,1
HDBank,"Unable to login by password and unable to login by fingerprint. It says account doesn't exist. So I tried internet banking in browser and it says your account is locked due to 3 failure attempts. ""HELP"" and chat function isn't working in app, says ""This service hasn't started yet"" Update: I've updated the recent app and many THANKS to the customer care. They have updated my new password and the account is working smoothly. Very fast !!",4,1
HDBank,"Whenever I choose transfer money option, the app stopped immediately. I don't know reason why.",3,1
HDBank,I can not run this app recently. It crashes all the times,3,1
HDBank,"Can login the internet banking using laptop, but could not login the app using mobile phone hdbank app",1,1
HDBank,Nice and easy to use,5,1
HDBank,The app is much better now. It works well.,4,1
HDBank,App login crash,1,1
HDBank,Dislike these colour,3,1
HDBank,Good app,5,1
HDBank,Crash,1,1
HDBank,Great bank,5,1
HDBank,App crash,1,1
HDBank,Good App,5,1
HDBank,Great app,5,1
Techcombank Mobile,"This application is performing really bad, have to say this, after a countless number of times that I first tried to access the login screen with absolutely no responses. The worst experience among my mobile bankings ever.",1,1
Techcombank Mobile,"The new app is horrible; the interface is not user-friendly at all. I initially chose the fingerprints login option, thinking if it fails the app at least would let me log in by other options like password or passcode but nope. Then, when I turned off the fingerprints option so as to deliberately log in with password cuz I need it to make e-payment, I also could not.",1,1
Techcombank Mobile,"First, the new user interface is a brave move by TCB team. It appears sleek, modern and geared toward <30 year old. However, I would say the flow is not user friendly. Example: transfer money should be compact in 1 screen. I personally feel uncomfortable to move different screens. Second, Im disappointed the new app does not come with many new features. Still very basic banking functions. Development team should look at BIDV SmartBanking & MB app for reference. I expect more from TCB app.",2,1
Techcombank Mobile,Ux/ui is very unfriendly and not as fast as fast mobile since it takes too many unecessary screen changing. I want everything to be shown on screen like the old one. You have to think about people who is over 45. Are they NOT your target customers so you don't care if they cannot approach this ux ui?,1,1
Techcombank Mobile,"Love the app. It's similar to the banking app I have in Australia, which is very useful and easy to navigate around. Some old users might find it complicated but once you are used to the app, it's so easy to use. Much better than the F@st Mobile one. Also, plus point for the design 💕",5,1
Techcombank Mobile,"Techcombank has fixed all the problems I mentioned before so I will change to 5 stars. Thanks for actually reading and improving. Btw sometimes I can't transfer money on the app cos it says no internet connection, but I check all the other apps are perfectly fine. So I hope you will fix this too, I think it's just a bug.",5,1
Techcombank Mobile,"Worst UI ever, functions details are not separated and so confused. The only reason i gave 2 stars is because the app is smoother than the previous",2,1
Techcombank Mobile,"Cannot log in since few days. App is loading, loading, loadin............. forever. Customer service is also checking ... Forever. It's terrible app and dev teams.",1,1
Techcombank Mobile,The new interface is very difficult to use and not user-friendly as the old version (F@st mobile). The information is shown in a very big size which I had to scroll up and down to read. All necessary functions are hard to navigate.,1,1
Techcombank Mobile,"Please let me back to F@st mobile. When converted to new application, they took me a lot of time to make a transaction. System administrator, if needed, I can be a technical support to help you.",1,1
Techcombank Mobile,I don't mind to learn for get use with new UX. But I cannot accept the fact that new app take really longggggg time to load everything. It takes 15++ minutes to only loading my balance for transferring my cash.,1,1
Techcombank Mobile,"A lot of UI UX to improve to help customer in their journey. currently too much thinking. ""Don't make me think"".",4,1
Techcombank Mobile,"1. the location to display full Amount changed is difficult to find. need be improve. 1. the notification of Amount changed is delayed serveral or long time, this is a risk when owners dont know their amount withdraw unexpected immediately.",3,1
Techcombank Mobile,"Compare with previous app F@stConnect, the new app is more difficulty to use, and the features are also be reduced also. Even account by mobile number from outside-bank transfer also is disabled",1,1
Techcombank Mobile,This app is still an improvement. There are a lot of things need to be developed. I request this app has a function that delete or modify the contact list of receiver's account.,3,1
Techcombank Mobile,"Cannot log into the new app, have to use the web version. Please fix or allow us to use the good old Fast Access app instead.",1,1
Techcombank Mobile,"First they asked me to use this app instead of the old FastMobile since they were going to shut it down soon . After setting up my new password for this app, I couldn't even log in and they even locked my internet banking account. How frustrating!",1,1
Techcombank Mobile,"Before, I must log in with password with 8 characters and use passcode to verify transaction. Now, the user only needs input 4 numbers to log in your account, then they can do transaction. It's mean when you left your mobile in a while, anyone can use your account. It's very disapointed.",1,1
Techcombank Mobile,"1. Should include balance information under Accounts and cards transaction > transaction history. Why put Balance notifications in a separate portal, hidden in Notifications? 2. Let user customize the text for money transfer 3. User should be able to hide their balance everywhere including transfer money portal Understand there are a lot to work on still but hopefully it can be done soon",3,1
Techcombank Mobile,working faster & it's really easy to use. Better than the previous version.,5,1
Techcombank Mobile,Quite good. Can't find the balance notification to track transactions.,4,1
Techcombank Mobile,Terrible app for a bank as it can only check balance... nothing else is works((( Its a pity that a bank with name TECH have such kind of apps(,1,1
Techcombank Mobile,"Can I use the old app? This new app is unfriendly, App interface is more difficult than the old version.",2,1
Techcombank Mobile,Modern and friendly UI/UX. Good job with re-designing the app. Major step up from the old outdated one. Few features needed asap: - edit contact list - set up recurring payments - show current balance next to each transaction - dark mode,4,1
Techcombank Mobile,"Well, understand why so many 1* here. I've created new pw via Fast mobile follow instructions and logged in via new app but then it said incorrect user and pw. Then I've come back the Fast mobile and re-done every step but same issue. Don't know how to do next. Need further improvement before shutdown the old app. Nam A bank has provided 2 different apps for different users. Thanks.",1,1
Techcombank Mobile,"- The app's feedback option is extremely hard to write. Instead of staying above the keyboard, it hid under it. I couldn't see what I have typed and had to fix many times. - Automatically log out when I have not done writing feedback. So I have to write here. - I couldn't pay my flight tickets via techcombank visa card. I have called them many times and they have guaranteed me the card is fine, which it wasn't. I had to pay with my other card. - The staffs who I called wasn't very helpful.",1,1
Techcombank Mobile,"- After moved from the old app, it slowly loads the feature. I need to wait 2 days to see credit card management section. - Anyway, the UI is clean and better.",4,1
Techcombank Mobile,UI is not good. The notification doesn't display for each transitions. It must be logged into the app to see the changes,1,1
Techcombank Mobile,"Really bad n sad for VN's (still) largest consumer bank. Amazingly, the first 1* have been there as far back as Oct 2021 n the problem apparently still persists as I have just been requested to migrate to the new version today (Mar 19th 2022). And of course it doesn't work. Now neither versions work for me. My wife is lucky she is still on older version, for some reasons. So why me??? The web version too is on strike 🤬. Hope other TCB's shareholders would read these reviews... I did.",1,1
Techcombank Mobile,It's difficult to use as the contents are too complicated and interface is so poor. Please bring the clients back to old app.,1,1
Techcombank Mobile,The upgraded version is super horrible . Send us back to the old one,1,1
Techcombank Mobile,Better than I thought. However the design should be simpler and more straight-forward.,4,1
Techcombank Mobile,"added more options and functionality, easy to use. love this new app!",5,1
Techcombank Mobile,"Forced change from Fast Connect to this app, but can't login",1,1
Techcombank Mobile,"Transfer didn't go through, and I have no idea whether it is either on-going/success/failed",2,1
Techcombank Mobile,modern design but it needs to faster and smoother,4,1
Techcombank Mobile,How can i delete beneficiary from list of beneficiaries? It seems that the app has not allowed to do it.,3,1
Techcombank Mobile,I cant tell why they switch to this app. No more new interesting feature. And the UI/UX is.... 100% awful!!! The old version was much more easier to use. They messed up everything,1,1
Techcombank Mobile,Impossible to login even if inputting account correctly.,1,1
Techcombank Mobile,Cannot log in even set up in Fast Mobile,1,1
Techcombank Mobile,I've been using fast@mobile for years now. Now fast@mobile forced me to switch to this. It ask me to make a new pw and ID for this app but i couldn't login via new pw. When i logged using my old pw it said that my online account was locked??? Better than that they doesn't provide any reason why my online account was locked? Now both apps are useless how do i transfer money? Honestly horrible experience Edit: after a day the old app give me another chance to update pw. After that all is good.,4,1
Techcombank Mobile,"Worst app ever. I have an emergency situation but can not transfer money. Since i downloaded this app, i tried about 20 times to transfer money but it didn't work. Horrible experience!",1,1
Techcombank Mobile,"Techcombank Call center explains that Smart OTP is useless, thus this new mobile app does not request any OTP for transaction. Only 4 digit passcode, you can do everything from log in to transaction. Such a disappointed app!",1,1
Techcombank Mobile,Boring app. Take too long to finish a transfer vs old app. Not much useful and convenient vs old app. 1 positive point is modern ui but cannot help for poor ux.,1,1
Techcombank Mobile,"Required me to create a new password from the old app. When I login to the new app it said ""Incorrect"". Now I can't login both. Edit: Took me an hour and the new app suddenly let me login.",3,1
Techcombank Mobile,A little uncomfortable when I use it. I set a password but login by validate number (OTP number). What does my password use for? Please fix it like the older app!,3,1
Techcombank Mobile,Why not showing account balance by every transaction. I have to manually calculated in my head the balance after each single transaction. Isn't bank app supposed to do so?,1,1
Techcombank Mobile,"simple, easy to use, attractive design",4,1
Techcombank Mobile,"Very fast, secure and completely free.",5,1
Techcombank Mobile,"The new app looks nice, I guess that you guys are trying to mimic the commonwealth bank look, modern, simple. The app however is still unfinished, there are still lot of bugs, sometimes you can't log in or system error. The transfer delay is too long compare to the previous app i.e F@st Mobile. With F@st its the transfer time is almost instant, with this app you need at a day or two just to get the transfer through.",3,1
Techcombank Mobile,"pretty great app, easy to use and nice to look at",5,1
Techcombank Mobile,The app crashes all the time. It loads like forever whenever I need to take an action.,1,1
Techcombank Mobile,"UX and UI is not good for the user. Keyboard always appears. It makes user feel uncomfortable. Additional, Push notification to device have multi lines. In the new version, the notification only have one line, it's not enough information to see. When user want to see full notification, user open the app. It is not convenient.",2,1
Techcombank Mobile,It says my phone has been rooted even though this android can't be rooted. Suck,1,1
Techcombank Mobile,The interface not user-friendly,1,1
Techcombank Mobile,"Not even able to log in although I've created a new password in the old app. It constantly announces that the username or password is incorrect, but I can 100% sure that I've entered the correct ones for thousand times. It's really annoying!",1,1
Techcombank Mobile,"love the app, Techcombank doing great with the technology improvement",5,1
Techcombank Mobile,"The service of this bank is so bad, took 2 weeks and my small problem about ebanking system is not solved. Not recommend to use this bank.",1,1
Techcombank Mobile,Too bad. Can't open and login,1,1
Techcombank Mobile,View UI/UX and function on Fast Mobile is good. But New App no want to use,1,1
Techcombank Mobile,Where is otp on this app. Forced me to switch to an app that isn't completed yet. Now I have to reinstall fast mobile again,3,1
Techcombank Mobile,The login button not react when i tap on it.,1,1
Techcombank Mobile,"Not being able to login even though I had to change my pw multiple times. I am sure I have entered correct pw and username or else the app would inform ""incorrect password or username"". And if I press ""forgot username"" it redirects me to change my password. What a non-sense! You made us switch to this app too early, and stopped us from the old app before this new one is ready. First time totally disappointed with TCB.",1,1
Techcombank Mobile,"The red theme is so annoying, once loaded up it hit my eyes with this super red hot screen, why hurting customers eyes like that?",2,1
Techcombank Mobile,"good service, easy to use UX",5,1
Techcombank Mobile,"Better than VCB app. If you use TCBS, this app is pretty useful as it integrates with TCBS and shows all your cash flow. 5/5.",5,1
Techcombank Mobile,App are slow during log in session.,4,1
Techcombank Mobile,"Looks nicer than F@st mobile and the name tailors the bank name now. There's still a minor bug issue where confirming allow in-app balance notification after installation goes on forever, restarting the app fixes it. Another issue might be the start animation, motion sick users can find it uncomfortable. Just a simple fade transition is professional enough. Also please, implement dark mode.",4,1
Techcombank Mobile,"good app, highspeed but need more security",4,1
Techcombank Mobile,"I love the new UI. Clean n more friendly. Need more using to tell the UX but i'm having positive feeling abt it. Well done, TCB team",5,1
Techcombank Mobile,It just works seamlessly,5,1
Techcombank Mobile,Easy and fast to use!,5,1
Techcombank Mobile,The app is b.s it brings the bad experiment especially when tranfering money to other bank. I examine to change other bank,1,1
Techcombank Mobile,fast and easy to use.,5,1
Techcombank Mobile,Can not log in in new app (Techcombank Mobie),1,1
Techcombank Mobile,smooth and fast,5,1
Techcombank Mobile,"Simple apps, good.",4,1
Techcombank Mobile,This new app is terrible. Not convenience at all.,1,1
Techcombank Mobile,Great and simple app,5,1
Techcombank Mobile,"Can't share transaction, can't upload to drove, can't even capture mobile screen (blocked)",1,1
Techcombank Mobile,Stupid version. I can't read app messages or use normal functions of old fast@mobile version.,1,1
Techcombank Mobile,"can't sent money to save account in the list, i have to refill my friend accounts everytime im want to transaction",1,1
Techcombank Mobile,"Actually terrible, i buy new phone and log in with old password, it never work!",1,1
Techcombank Mobile,Not as user friendly as i am used to ... i cannot change my front page set up to NOT show my account balance ...:(,2,1
Techcombank Mobile,Worse than the previous app (TechMobile). There is no information of the credit VISA card.,3,1
Techcombank Mobile,I think old version is better if it doesnt request to change password often...i don't like this new app,2,1
Techcombank Mobile,Does not work smoothly like Fast@mobile. Often receive loading issues,1,1
Techcombank Mobile,They detect a phone as jailbroken if developer mode is turned on. Are you kidding! 3rd class app.,1,1
Techcombank Mobile,Does not operate properly on Galaxy S20+: it simply doesn't start. 1 star.,1,1
Techcombank Mobile,This software sucks. Suddenly I cannot do anything on my app. Went to the bank and nobody there knows what to do.,1,1
Techcombank Mobile,Can you remove the feature in the old app which forces users to update to this unusable one???,1,1
Techcombank Mobile,The ui is very unfriendly,1,1
Techcombank Mobile,"The new app so ridiculous, it's deterioration. I can't hide the balance and all my transactions always show on main screen.",2,1
Techcombank Mobile,The app is super crash. I couldn't creat an online account. It kept telling me that something is wrong when I tried to take pictures of my ID. I tried a lot of time but it all failed.,1,1
Techcombank Mobile,"1. Lack information transactions such as date of transactions and some names of receivers or transmitters 2. Ask user to set password and passcode but the app set default log in by using passcode, cannot change the password mode 3. I cannot find where to change OTP 4. Should have a user manual to instruct customer first before applying the app in real life",2,1
Techcombank Mobile,"Please do test your application carefully before mass roll out to the market. Too many bugs, service interruption frequently. Cannot understand why you can release such poor quality product to the market. It is obviously unmatched to the name of Techcombank.",1,1
Techcombank Mobile,"An unfinished application, how lame it is when you switch to this , you neither use the previous version nor login on web browser which have more funtions than this ver (where is the freaking benefical management)",1,1
Techcombank Mobile,No updated balance for each transaction!??,1,1
Techcombank Mobile,New interface is not friendly,3,1
Techcombank Mobile,"Can not login, already sign up with new password",1,1
Techcombank Mobile,"modern ux, fast to navigate when you familiar with",5,1
Techcombank Mobile,"This is a nightmare, I can't make any transactions. Can't even log in, I tried and failed to log in 99 out of 100 times. Can't even imagine this is an iBanking application. I called Support Center and was told it was because of my internet connection, how irresponsible!",1,1
Techcombank Mobile,Great experience. I enjoy how easy it is to search for a saved recipient and I no longer have to choose from so many transfer options.,5,1
Techcombank Mobile,"After only 2 days with the new app, I must say it is much more better than the older version. From the UI, the categories, the way you transfer money, it's really easy to use. Good job techcom team!",5,1
Techcombank Mobile,"After logined in my account via typing username and password, this app still asked me to input OTP code. Now I'm in abroad and my Vietnam sim card doesn't work. That is why I rate for this app 1 star. Definitely.",1,1
Techcombank Mobile,"The worst e-banking app ever! Cannot log in though the internet connection or the password is very ok, right. I do not want to use this fvckjng app but the f@st mobile app cannot be used",1,1
Techcombank Mobile,"I've tried to log in but fail anytime, it make me feel so uncomfortable. I need to make some transactions but i don't have time to go to the bank or ATM so what can I do now when this app and the old app are off either?",1,1
Techcombank Mobile,So bad. UI/UX is too difficult to use. Notification function doesn't work. Why I have to migrate to new app when it not finish???,1,1
Techcombank Mobile,This app keeps saying something went wrong at different times and steps though my connection is strong and the info is correct.,1,1
