Bank,review_text,review_score,english,target,review_text_wt
HDBank,so far so good,5.0,0.0,1.0,so far so good
HDBank,quá tệ liên tục bị lỗi kết nối tới server bị gián đoạn làm cho việc đăng ký mãi không_được,1.0,0.0,0.0,quá tệ liên_tục bị lỗi kết_nối tới server bị gián_đoạn làm cho việc đăng_ký mãi không_được
HDBank,"app của một ngân hàng có tham vọng mà để xảy ra lỗi liên tục đăng nhập bằng vân tây giao dịch cả ngày rồi bất ngờ thông báo""chưa cài đặt đăng nhập bằng vân tay"" vào ứng dụng cài đặt thì promt quét vân tay nhưng không_có chỗ quét trong khi ứng dụng của ngân hàng khác và các app dùng vân tay vẫn hoạt động bình thường và đây không_phải lần đầu tiên",1.0,0.0,0.0,"app của một ngân_hàng có tham_vọng mà để xảy ra lỗi liên_tục đăng nhập bằng vân tây giao_dịch cả ngày rồi bất_ngờ thông_báo "" chưa cài_đặt đăng nhập bằng vân tay "" vào ứng_dụng cài_đặt thì promt quét vân tay nhưng không_có chỗ quét trong khi ứng_dụng của ngân_hàng khác và các app dùng vân tay vẫn hoạt_động bình_thường và đây không_phải lần đầu_tiên"
HDBank,app ngân hàng thuộc top cùi nhất thị trg mỗi lần đổi điện thoại là phải lên pgd reset pass rất mất time giao diện xấu đau đớn nói chung so với ngân hàng khác ngay cả khi so với mấy ông chậm thay đổi như big còn thua,1.0,0.0,0.0,app ngân_hàng thuộc top cùi nhất thị trg mỗi lần đổi điện_thoại là phải lên pgd reset pass rất mất time giao_diện xấu đau_đớn nói_chung so với ngân_hàng khác ngay cả khi so với mấy ông chậm thay_đổi như big còn thua
HDBank,mình dùng app để thanh toán vé máy bay và vé xem phim bhd rất tiện lợi,5.0,0.0,1.0,mình dùng app để thanh_toán vé máy_bay và vé xem phim bhd rất tiện_lợi
HDBank,sao vì dịch vụ chuyển tiền qua app chưa miễn phí lấy cho lần chuyển đến bây giờ vùng miền chi nhánh nữa khách hàng cá nhân thì phải càng ưu đãi dịch vụ vì họ là người thích nói xấu hay chuyển ngân hàng nếu có sự khập khiễng giữa các ngân hàng thời đại mobile money mà còn lấy phí thì không_đúng với tinh thần chỉ đạo cuả chính phủ ra atm rút tiền lương còn rẻ hơn phí chuyển,1.0,0.0,0.0,sao vì dịch_vụ chuyển tiền qua app chưa miễn_phí lấy cho lần chuyển đến bây_giờ vùng_miền chi_nhánh nữa khách_hàng cá_nhân thì phải càng ưu_đãi dịch_vụ vì họ là người thích nói_xấu hay chuyển ngân_hàng nếu có sự khập_khiễng giữa các ngân_hàng thời_đại mobile money mà_còn lấy phí thì không_đúng với tinh_thần chỉ_đạo cuả chính_phủ ra atm rút tiền_lương còn rẻ hơn phí chuyển
HDBank,đề nghị coi lại quy trình đặt lại mật khẩu mới trùng cũng không_cho làm gì mà có nhiều mật khẩu để đặt hoài vậy,1.0,0.0,0.0,đề_nghị coi lại quy_trình đặt lại mật_khẩu mới trùng cũng không_cho làm_gì mà có nhiều mật_khẩu để đặt hoài vậy
HDBank,trải nghiệm tệ nhất với credit card của hd bank gặp đủ thứ rắc rối sau khi nhận thẻ thực tế không thể sử dụng tốt được xin chào không hẹn gặp lại,1.0,0.0,0.0,trải_nghiệm tệ nhất với credit card của hd bank gặp đủ thứ rắc_rối sau khi nhận thẻ thực_tế không_thể sử_dụng tốt được xin chào không hẹn gặp lại
HDBank,ok,5.0,0.0,1.0,ok
HDBank,rất tiện lợi,5.0,0.0,1.0,rất tiện_lợi
