Bank,review_text,review_score,english,target
HDBank,stupid bank app without help on how to generate otp and the bank itself in daklak is super slow no number offer to customers and wait like h cannot enter the counter,1,1,0
HDBank,high fees and money sometimes just disappear from the account without any explanation,1,1,0
HDBank,"unable to login by password and unable to login by fingerprint it says account doesn't exist so i tried internet banking in browser and it says your account is locked due to failure attempts ""help"" and chat function isn't working in app says ""this service hasn't started yet"" update i've updated the recent app and many thanks to the customer care they have updated my new password and the account is working smoothly very fast",4,1,1
HDBank,whenever i choose transfer money option the app stopped immediately i don't know reason why,3,1,0
HDBank,i can not run this app recently it crashes all the times,3,1,0
HDBank,can login the internet banking using laptop but could not login the app using mobile phone hdbank app,1,1,0
HDBank,nice and easy to use,5,1,1
HDBank,the app is much better now it works well,4,1,1
HDBank,app login crash,1,1,0
HDBank,dislike these colour,3,1,0
HDBank,good app,5,1,1
HDBank,crash,1,1,0
HDBank,great bank,5,1,1
HDBank,app crash,1,1,0
HDBank,good app,5,1,1
HDBank,great app,5,1,1
Techcombank Mobile,this application is performing really bad have to say this after a countless number of times that i first tried to access the login screen with absolutely no responses the worst experience among my mobile bankings ever,1,1,0
Techcombank Mobile,the new app is horrible the interface is not user friendly at all i initially chose the fingerprints login option thinking if it fails the app at least would let me log in by other options like password or passcode but nope then when i turned off the fingerprints option so as to deliberately log in with password cuz i need it to make e payment i also could not,1,1,0
Techcombank Mobile,first the new user interface is a brave move by tcb team it appears sleek modern and geared toward year old however i would say the flow is not user friendly example transfer money should be compact in screen i personally feel uncomfortable to move different screens second im disappointed the new app does not come with many new features still very basic banking functions development team should look at bidv smartbanking mb app for reference i expect more from tcb app,2,1,0
Techcombank Mobile,ux ui is very unfriendly and not as fast as fast mobile since it takes too many unecessary screen changing i want everything to be shown on screen like the old one you have to think about people who is over are they not your target customers so you don't care if they cannot approach this ux ui,1,1,0
Techcombank Mobile,love the app it's similar to the banking app i have in australia which is very useful and easy to navigate around some old users might find it complicated but once you are used to the app it's so easy to use much better than the f st mobile one also plus point for the design two hearts,5,1,1
Techcombank Mobile,techcombank has fixed all the problems i mentioned before so i will change to stars thanks for actually reading and improving btw sometimes i can't transfer money on the app cos it says no internet connection but i check all the other apps are perfectly fine so i hope you will fix this too i think it's just a bug,5,1,1
Techcombank Mobile,worst ui ever functions details are not separated and so confused the only reason i gave stars is because the app is smoother than the previous,2,1,0
Techcombank Mobile,cannot log in since few days app is loading loading loadin forever customer service is also checking forever it's terrible app and dev teams,1,1,0
Techcombank Mobile,the new interface is very difficult to use and not user friendly as the old version f st mobile the information is shown in a very big size which i had to scroll up and down to read all necessary functions are hard to navigate,1,1,0
Techcombank Mobile,please let me back to f st mobile when converted to new application they took me a lot of time to make a transaction system administrator if needed i can be a technical support to help you,1,1,0
Techcombank Mobile,i don't mind to learn for get use with new ux but i cannot accept the fact that new app take really longggggg time to load everything it takes minutes to only loading my balance for transferring my cash,1,1,0
Techcombank Mobile,"a lot of ui ux to improve to help customer in their journey currently too much thinking ""don't make me think""",4,1,1
